25
70	24	69	40	100	94	27	43	13	18	88	34	18	42	66	98	30	47	73	18	83	81	49	28
78	39	40	76	8	71	60	42	11	57	70	13	19	35	46	76	59	30	58	90	44	79	27	50
87	59	57	24	26	26	76	8	21	88	75	58	88	52	22	42	59	80	77	63	40	19	80	9
11	55	1	9	5	72	25	62	97	94	82	86	19	98	82	27	9	14	93	35	96	49	10	99
56	46	71	88	48	95	35	18	12	69	32	32	50	75	50	26	9	22	82	99	95	58	1	69
35	12	78	37	53	89	53	31	18	69	32	41	73	33	23	79	94	93	48	40	61	88	96	7
48	28	55	12	16	78	86	20	53	12	15	77	52	89	28	3	6	54	80	22	56	21	25	17
25	41	79	66	76	47	90	12	5	35	25	18	69	86	16	18	9	68	17	82	88	50	66	60
92	33	38	53	41	86	38	96	19	25	69	91	7	22	27	29	76	3	97	48	11	58	66	87
61	96	35	71	15	18	70	15	71	50	1	79	42	74	59	41	9	97	40	5	58	29	37	17
94	96	4	43	37	14	16	53	25	46	98	15	67	78	51	21	76	84	41	43	29	99	89	23
57	49	25	49	27	55	94	1	33	89	91	56	48	55	94	31	34	5	7	98	45	2	8	27
74	3	43	18	46	71	98	45	6	99	36	67	44	39	77	12	37	82	27	78	51	11	59	41
86	55	83	67	78	50	92	69	31	90	69	18	58	98	79	48	52	76	17	29	8	8	43	16
64	37	35	65	74	39	79	100	60	98	85	51	61	92	7	68	24	41	4	6	64	29	33	39
31	38	42	93	9	72	1	71	5	92	22	31	90	32	74	94	50	45	48	54	8	2	51	17
10	43	54	4	38	47	26	42	1	94	83	26	77	25	40	6	72	75	58	63	54	94	81	38
95	47	42	92	17	17	27	10	100	95	5	83	30	64	18	49	11	58	56	81	84	22	33	34
45	14	46	95	38	47	81	49	3	69	4	57	75	3	21	37	92	40	11	69	60	24	35	41
62	96	25	63	83	39	81	41	77	34	7	16	84	83	53	64	41	70	28	91	13	49	20	29
41	37	77	32	10	47	72	78	42	36	97	41	17	80	72	55	84	78	37	59	91	20	83	50
24	26	85	99	74	91	67	76	84	83	77	83	39	52	86	9	91	78	83	82	12	18	66	34
28	87	67	95	70	47	93	13	98	79	79	5	21	54	48	53	68	52	94	9	11	39	35	81
69	79	47	43	63	26	81	44	93	6	92	38	25	82	63	8	51	1	10	68	25	44	54	25
62	28	12	56	64	84	1	63	95	27	69	66	77	42	56	72	13	53	64	1	25	14	21	89
