25
65	9	95	94	6	48	67	20	81	50	28	52	54	66	92	76	47	42	78	47	21	42	85	9
83	51	76	76	4	30	2	82	56	71	1	60	9	74	11	75	43	64	18	41	90	77	82	31
22	34	72	61	31	80	43	30	94	1	48	79	94	78	32	85	7	10	58	43	68	23	22	67
72	94	61	11	38	99	2	59	2	62	95	42	36	46	53	62	70	21	99	22	73	60	33	8
40	22	41	79	52	9	54	50	87	13	99	85	31	3	82	69	95	66	89	80	78	25	87	66
5	78	4	96	22	98	95	66	82	76	26	26	2	60	23	43	35	32	71	13	37	31	42	70
56	11	77	11	23	70	100	29	59	61	32	4	80	53	8	61	88	86	37	67	76	89	75	5
75	52	79	97	34	39	41	97	53	30	2	65	22	47	2	80	35	34	88	51	34	41	84	42
95	29	20	28	34	93	25	64	96	17	16	44	23	2	81	49	4	74	93	62	80	43	65	6
66	16	67	92	49	40	29	79	26	15	60	27	88	6	28	71	41	46	76	91	20	13	70	73
5	57	66	20	17	45	60	15	41	1	34	28	9	45	22	78	85	58	42	2	56	95	56	17
69	77	11	78	35	73	85	52	41	97	97	85	70	46	11	82	53	77	4	61	64	51	6	71
81	46	45	100	1	14	81	52	54	94	71	46	68	15	46	58	29	49	100	22	76	98	82	73
67	82	11	3	89	33	75	82	71	83	68	15	90	49	87	66	87	63	93	41	5	92	30	80
52	10	33	31	41	2	64	69	10	14	92	60	74	55	32	67	13	65	39	20	68	16	82	92
96	89	18	13	68	59	65	8	9	65	6	85	31	13	21	2	77	31	53	79	28	73	47	22
46	96	2	90	41	52	54	12	87	82	31	74	86	48	7	57	21	83	62	41	88	82	97	36
75	16	28	77	57	52	64	73	68	11	74	79	86	37	40	38	37	15	39	87	65	9	94	48
96	55	80	88	82	88	2	7	58	83	24	35	16	20	49	57	71	72	99	40	47	72	6	61
52	72	68	58	24	31	26	22	42	19	91	75	3	78	46	90	37	70	23	25	83	65	39	95
27	55	90	76	16	77	31	62	32	46	83	78	52	87	71	90	24	11	91	6	53	42	80	25
48	65	39	33	32	90	57	35	69	55	34	47	70	46	18	69	13	5	41	40	36	55	66	25
28	29	79	20	21	68	43	21	86	29	23	25	17	94	60	47	61	90	18	60	11	15	1	88
39	58	73	38	71	88	54	71	66	65	89	56	30	62	23	41	90	66	57	83	91	13	95	43
88	75	71	93	18	78	85	34	7	98	92	12	7	70	3	46	98	48	15	63	27	51	36	12
